Metabolite	Dilution	Concentration	ChromIntensities	OwnBorderIntensities
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.005	-99.0	-99.0	-99.0
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.01	-99.0	-99.0	-99.0
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.02	-99.0	-99.0	-99.0
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.05	-99.0	-99.0	-99.0
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.1	6660.450246	29143.0	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.2	13320.900492	74095.0	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.5	33302.25123	131190.0	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	1	66604.50246	250134.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.01	-99.0	-99.0	-99.0
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.02	-99.0	-99.0	-99.0
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.05	4574.2166655	51562.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.1	9148.433331	100767.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.2	18296.866662	139919.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.5	45742.166655	473667.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	1	91484.33331	876545.0	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.005	-99.0	-99.0	-99.0
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.01	-99.0	-99.0	-99.0
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.02	-99.0	-99.0	-99.0
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.05	-99.0	-99.0	-99.0
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.1	3811.5566400000007	32149.0	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.2	7623.113280000001	38880.0	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.5	19057.7832	23179.0	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	1	38115.5664	44746.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.005	-99.0	-99.0	-99.0
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.01	426.80324370000005	41152.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.02	853.6064874000001	39041.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.05	2134.0162185000004	105040.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.1	4268.032437000001	213735.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.2	8536.064874000002	354467.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.5	21340.162185	1401450.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	1	42680.32437	2439040.0	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	0.005	570.939195	111143.0	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	0.01	1141.87839	96609.0	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	0.02	2283.75678	111965.0	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	0.05	5709.391950000001	100000.0	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	0.1	11418.783900000002	104201.0	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	0.2	22837.567800000004	144381.0	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	0.5	57093.9195	162297.0	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	1	114187.839	159935.0	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.01	-99.0	-99.0	-99.0
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.02	1829.6866662	157547.0	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.05	4574.2166655	221820.0	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.1	9148.433331	212556.0	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.2	18296.866662	293514.0	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.5	45742.166655	973221.0	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	1	91484.33331	1679141.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.005	134.9819124	164268.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.01	269.9638248	205155.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.02	539.9276496	193486.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.05	1349.819124	165988.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.1	2699.638248	198964.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.2	5399.276496	204648.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.5	13498.19124	344272.0	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	1	26996.38248	322373.0	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.01	-99.0	-99.0	-99.0
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.02	-99.0	-99.0	-99.0
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.05	8394.895905000001	62408.0	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.1	16789.791810000002	122252.0	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.2	33579.583620000005	163259.0	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.5	83948.95905	538955.0	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	1	167897.9181	1027591.0	NaN
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.005	-99.0	-99.0	-99.0
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.01	-99.0	-99.0	-99.0
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.02	-99.0	-99.0	-99.0
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.05	3040.0416920000002	22229.0	NaN
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.1	6080.0833840000005	62727.0	NaN
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.2	12160.166768000001	92115.0	NaN
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.5	30400.41692	637189.0	NaN
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	1	60800.83384	1061745.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.005	333.0225123	54759.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.01	666.0450246	96841.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.02	1332.0900492	155864.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.05	3330.225123	359137.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.1	6660.450246	785731.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.2	13320.900492	1110228.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.5	33302.25123	3968363.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	1	66604.50246	7554364.0	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.005	-99.0	-99.0	-99.0
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.01	-99.0	-99.0	-99.0
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.02	-99.0	-99.0	-99.0
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.05	2117.0293845	17938.0	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.1	4234.058769	63397.0	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.2	8468.117538	114556.0	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.5	21170.293845	431328.0	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	1	42340.58769	854812.0	NaN
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.005	-99.0	-99.0	-99.0
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.01	-99.0	-99.0	-99.0
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.02	-99.0	-99.0	-99.0
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.05	2173.9130435	30923.0	NaN
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.1	-99.0	-99.0	-99.0
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.2	8695.652174	34297.0	NaN
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.5	21739.130435	56827.0	NaN
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	1	43478.26087	112563.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.005	133.82103665	1301686.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.01	267.6420733	1110315.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.02	535.2841466	662324.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.05	-99.0	-99.0	-99.0
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.1	2676.4207330000004	1027974.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.2	5352.841466000001	1118899.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.5	13382.103665	521623.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	1	-99.0	-99.0	-99.0
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.005	-99.0	-99.0	-99.0
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.01	-99.0	-99.0	-99.0
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.02	-99.0	-99.0	-99.0
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.05	1723.0981305000003	29190.0	NaN
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.1	3446.1962610000005	52791.0	NaN
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.2	6892.392522000001	90442.0	NaN
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.5	17230.981305	722161.0	NaN
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	1	34461.96261	1539195.0	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.005	56.12302165	67163.0	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.01	112.2460433	19487.0	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.02	-99.0	-99.0	-99.0
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.05	-99.0	-99.0	-99.0
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.1	1122.460433	61794.0	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.2	2244.920866	89951.0	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.5	5612.302165	240906.0	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	1	11224.60433	739353.0	NaN
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.01	-99.0	-99.0	-99.0
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.02	-99.0	-99.0	-99.0
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.05	-99.0	-99.0	-99.0
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.1	11418.783900000002	45586.0	NaN
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.2	22837.567800000004	94638.0	NaN
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.5	57093.9195	496731.0	NaN
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	1	114187.839	1089718.0	NaN
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.01	-99.0	-99.0	-99.0
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.02	-99.0	-99.0	-99.0
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.05	8394.895905000001	50811.0	NaN
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.1	16789.791810000002	102741.0	NaN
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.2	33579.583620000005	196283.0	NaN
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.5	83948.95905	1018060.0	NaN
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	1	167897.9181	2028668.0	NaN
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.005	-99.0	-99.0	-99.0
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.01	-99.0	-99.0	-99.0
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.02	-99.0	-99.0	-99.0
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.05	-99.0	-99.0	-99.0
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.1	3422.3134840000002	58258.0	NaN
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.2	6844.6269680000005	96018.0	NaN
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.5	17111.56742	469967.0	NaN
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	1	34223.13484	885655.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.01	-99.0	-99.0	-99.0
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.02	134.0392735	35521.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.05	335.09818375000003	63089.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.1	670.1963675000001	120532.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.2	1340.3927350000001	211941.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.5	3350.9818375	443527.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	1	6701.963675	458790.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.005	-99.0	-99.0	-99.0
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.01	112.2460433	42298.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.02	224.4920866	77350.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.05	561.2302165	181725.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.1	1122.460433	451594.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.2	2244.920866	639962.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.5	5612.302165	2432381.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	1	11224.60433	4519420.0	NaN
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.005	-99.0	-99.0	-99.0
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.01	-99.0	-99.0	-99.0
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.02	-99.0	-99.0	-99.0
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.05	-99.0	-99.0	-99.0
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.1	4474.606608	29355.0	NaN
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.2	8949.213216	33184.0	NaN
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.5	22373.03304	528972.0	NaN
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	1	44746.06608	1100113.0	NaN
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	0.01	-99.0	-99.0	-99.0
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	0.02	-99.0	-99.0	-99.0
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	0.05	-99.0	-99.0	-99.0
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	0.1	-99.0	-99.0	-99.0
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	0.2	1340.3927350000001	56417.0	NaN
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	0.5	3350.9818375	360018.0	NaN
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D	1	6701.963675	903391.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.005	464.68401485000004	136728.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.01	929.3680297000001	89996.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.02	1858.7360594000002	126077.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.05	4646.8401485	187304.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.1	9293.680297	258758.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.2	18587.360594	397337.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.5	46468.401485	1496109.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	1	92936.80297	2818755.0	NaN
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	0.005	-99.0	-99.0	-99.0
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	0.01	96.97439876	36321.0	NaN
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	0.02	193.94879752	79766.0	NaN
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	0.05	484.87199380000004	131067.0	NaN
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	0.1	969.7439876000001	278797.0	NaN
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	0.2	1939.4879752000002	407483.0	NaN
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	0.5	4848.719938	1528562.0	NaN
Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C	1	9697.439876	2986756.0	NaN
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	0.01	-99.0	-99.0	-99.0
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	0.02	-99.0	-99.0	-99.0
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	0.05	-99.0	-99.0	-99.0
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	0.1	4420.084866	67784.0	NaN
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	0.2	8840.169732	109478.0	NaN
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	0.5	22100.42433	375862.0	NaN
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C	1	44200.84866	820290.0	NaN
Serine_(4TMS)_BP_RI:1571_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Serine_(4TMS)_BP_RI:1571_IDENT:C+D	0.01	-99.0	-99.0	-99.0
Serine_(4TMS)_BP_RI:1571_IDENT:C+D	0.02	-99.0	-99.0	-99.0
Serine_(4TMS)_BP_RI:1571_IDENT:C+D	0.05	5709.391950000001	24175.0	NaN
Serine_(4TMS)_BP_RI:1571_IDENT:C+D	0.1	11418.783900000002	14844.0	NaN
Serine_(4TMS)_BP_RI:1571_IDENT:C+D	0.2	22837.567800000004	18053.0	NaN
Serine_(4TMS)_BP_RI:1571_IDENT:C+D	0.5	57093.9195	85179.0	NaN
Serine_(4TMS)_BP_RI:1571_IDENT:C+D	1	114187.839	209982.0	NaN
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	0.005	-99.0	-99.0	-99.0
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	0.01	183.2340815	47235.0	NaN
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	0.02	366.468163	66421.0	NaN
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	0.05	916.1704075	181759.0	NaN
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	0.1	1832.340815	406578.0	NaN
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	0.2	3664.68163	547257.0	NaN
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	0.5	9161.704075	1776901.0	NaN
Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C	1	18323.40815	3475828.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	0.005	45.004500449999995	28013.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	0.01	90.00900089999999	9972.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	0.02	180.01800179999998	7777.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	0.05	450.0450045	40181.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	0.1	900.090009	16128.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	0.2	1800.180018	11106.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	0.5	4500.450045	67296.0	NaN
Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B	1	-99.0	-99.0	-99.0
Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D	0.005	31.042403925	15535.0	NaN
Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D	0.01	62.08480785	49940.0	NaN
Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D	0.02	124.1696157	71671.0	NaN
Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D	0.05	310.42403925	188905.0	NaN
Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D	0.1	620.8480785	427867.0	NaN
Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D	0.2	1241.696157	644959.0	NaN
Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D	0.5	3104.2403925	2469747.0	NaN
Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D	1	6208.480785	4822687.0	NaN
Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D	0.005	684.2753525	5007.0	NaN
Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D	0.01	1368.550705	3353.0	NaN
Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D	0.02	2737.10141	9468.0	NaN
Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D	0.05	6842.753525	14318.0	NaN
Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D	0.1	13685.50705	5070.0	NaN
Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D	0.2	27371.0141	11954.0	NaN
Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D	0.5	68427.53525	22855.0	NaN
Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D	1	136855.0705	1426.0	NaN
Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D	0.005	-99.0	-99.0	-99.0
Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D	0.01	-99.0	-99.0	-99.0
