"Metabolite","Dilution","Concentration","ChromIntensities","OwnBorderIntensities","Batch_Id"
"Glycine_(2TMS)_BP_RI:1117_IDENT:A+C",0.02,1332.0900492,534752,NA,"e18057cz"
"Glycine_(2TMS)_BP_RI:1117_IDENT:A+C",0.05,3330.225123,1338776,NA,"e18057cz"
"Glycine_(2TMS)_BP_RI:1117_IDENT:A+C",0.1,6660.450246,1879603,NA,"e18057cz"
"Glycine_(2TMS)_BP_RI:1117_IDENT:A+C",0.2,13320.900492,4149893,NA,"e18057cz"
"Glycine_(2TMS)_BP_RI:1117_IDENT:A+C",0.5,33302.25123,12348529,NA,"e18057cz"
"Glycine_(2TMS)_BP_RI:1117_IDENT:A+C",1,66604.50246,20867855,NA,"e18057cz"
"Leucine_(1TMS)_BP_RI:1153_IDENT:B+C",0.005,-99,-99,-99,"e18057cz"
"Leucine_(1TMS)_BP_RI:1153_IDENT:B+C",0.01,914.8433331,1582883,NA,"e18057cz"
"Leucine_(1TMS)_BP_RI:1153_IDENT:B+C",0.02,1829.6866662,2664529,NA,"e18057cz"
"Leucine_(1TMS)_BP_RI:1153_IDENT:B+C",0.05,4574.2166655,6307883,NA,"e18057cz"
"Leucine_(1TMS)_BP_RI:1153_IDENT:B+C",0.1,9148.433331,14263239,NA,"e18057cz"
"Leucine_(1TMS)_BP_RI:1153_IDENT:B+C",0.2,18296.866662,27439173,NA,"e18057cz"
"Leucine_(1TMS)_BP_RI:1153_IDENT:B+C",0.5,45742.166655,52037072,NA,"e18057cz"
"Leucine_(1TMS)_BP_RI:1153_IDENT:B+C",1,91484.33331,119568931,NA,"e18057cz"
"Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B",0.005,-99,-99,-99,"e18057cz"
"Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B",0.01,288.184438,1161025,NA,"e18057cz"
"Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B",0.02,576.368876,2584436,NA,"e18057cz"
"Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B",0.05,1440.92219,6147893,NA,"e18057cz"
"Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B",0.1,2881.84438,11948386,NA,"e18057cz"
"Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B",0.2,5763.68876,26809835,NA,"e18057cz"
"Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B",0.5,14409.2219,72120164,NA,"e18057cz"
"Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B",1,28818.4438,136576977,NA,"e18057cz"
"Proline_(1TMS)_BP_RI:1172_IDENT:A+B",0.005,-99,-99,-99,"e18057cz"
"Proline_(1TMS)_BP_RI:1172_IDENT:A+B",0.01,-99,-99,-99,"e18057cz"
"Proline_(1TMS)_BP_RI:1172_IDENT:A+B",0.02,1216.0166768,529458,NA,"e18057cz"
"Proline_(1TMS)_BP_RI:1172_IDENT:A+B",0.05,3040.041692,3737574,NA,"e18057cz"
"Proline_(1TMS)_BP_RI:1172_IDENT:A+B",0.1,6080.083384,11838993,NA,"e18057cz"
"Proline_(1TMS)_BP_RI:1172_IDENT:A+B",0.2,12160.166768,23197587,NA,"e18057cz"
"Proline_(1TMS)_BP_RI:1172_IDENT:A+B",0.5,30400.41692,41927680,NA,"e18057cz"
"Proline_(1TMS)_BP_RI:1172_IDENT:A+B",1,60800.83384,106106570,NA,"e18057cz"
"Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D",0.005,-99,-99,-99,"e18057cz"
"Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D",0.01,381.155664,983584,NA,"e18057cz"
"Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D",0.02,762.311328,1921446,NA,"e18057cz"
"Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D",0.05,1905.77832,5338478,NA,"e18057cz"
"Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D",0.1,3811.55664,12348671,NA,"e18057cz"
"Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D",0.2,7623.11328,25374219,NA,"e18057cz"
"Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D",0.5,19057.7832,44625638,NA,"e18057cz"
"Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D",1,38115.5664,112161556,NA,"e18057cz"
"Valine_(2TMS)_MP_RI:1212_IDENT:B+D",0.005,213.40162185,1402694,NA,"e18057cz"
"Valine_(2TMS)_MP_RI:1212_IDENT:B+D",0.01,426.8032437,2044240,NA,"e18057cz"
"Valine_(2TMS)_MP_RI:1212_IDENT:B+D",0.02,853.6064874,5502455,NA,"e18057cz"
"Valine_(2TMS)_MP_RI:1212_IDENT:B+D",0.05,2134.0162185,11785059,NA,"e18057cz"
"Valine_(2TMS)_MP_RI:1212_IDENT:B+D",0.1,4268.032437,20161808,NA,"e18057cz"
"Valine_(2TMS)_MP_RI:1212_IDENT:B+D",0.2,8536.064874,44610732,NA,"e18057cz"
"Valine_(2TMS)_MP_RI:1212_IDENT:B+D",0.5,21340.162185,119203744,NA,"e18057cz"
"Valine_(2TMS)_MP_RI:1212_IDENT:B+D",1,42680.32437,213684113,NA,"e18057cz"
"Serine_(2TMS)_BP_RI:1260_IDENT:C+D",0.005,570.939195,2413499,NA,"e18057cz"
"Serine_(2TMS)_BP_RI:1260_IDENT:C+D",0.01,1141.87839,3862548,NA,"e18057cz"
"Serine_(2TMS)_BP_RI:1260_IDENT:C+D",0.02,2283.75678,8653895,NA,"e18057cz"
"Serine_(2TMS)_BP_RI:1260_IDENT:C+D",0.05,5709.39195,17026232,NA,"e18057cz"
"Serine_(2TMS)_BP_RI:1260_IDENT:C+D",0.1,11418.7839,33854557,NA,"e18057cz"
"Serine_(2TMS)_BP_RI:1260_IDENT:C+D",0.2,22837.5678,57522707,NA,"e18057cz"
"Serine_(2TMS)_BP_RI:1260_IDENT:C+D",0.5,57093.9195,104093808,NA,"e18057cz"
"Serine_(2TMS)_BP_RI:1260_IDENT:C+D",1,114187.839,243040486,NA,"e18057cz"
"Leucine_(2TMS)_MP_RI:1277_IDENT:B+C",0.005,457.42166655,5603122,NA,"e18057cz"
"Leucine_(2TMS)_MP_RI:1277_IDENT:B+C",0.01,914.8433331,6677685,NA,"e18057cz"
"Leucine_(2TMS)_MP_RI:1277_IDENT:B+C",0.02,1829.6866662,14426993,NA,"e18057cz"
"Leucine_(2TMS)_MP_RI:1277_IDENT:B+C",0.05,4574.2166655,30029755,NA,"e18057cz"
"Leucine_(2TMS)_MP_RI:1277_IDENT:B+C",0.1,9148.433331,53129521,NA,"e18057cz"
"Leucine_(2TMS)_MP_RI:1277_IDENT:B+C",0.2,18296.866662,138995871,NA,"e18057cz"
"Leucine_(2TMS)_MP_RI:1277_IDENT:B+C",0.5,45742.166655,462345694,NA,"e18057cz"
"Leucine_(2TMS)_MP_RI:1277_IDENT:B+C",1,91484.33331,847115495,NA,"e18057cz"
"Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D",0.005,134.9819124,55796109,NA,"e18057cz"
"Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D",0.01,269.9638248,53851893,NA,"e18057cz"
"Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D",0.02,539.9276496,64342933,NA,"e18057cz"
"Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D",0.05,1349.819124,80835234,NA,"e18057cz"
"Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D",0.1,2699.638248,109270451,NA,"e18057cz"
"Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D",0.2,5399.276496,191657209,NA,"e18057cz"
"Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D",0.5,13498.19124,448272922,NA,"e18057cz"
"Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D",1,26996.38248,990617651,NA,"e18057cz"
"Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D",0.005,190.577832,1378928,NA,"e18057cz"
"Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D",0.01,381.155664,2070301,NA,"e18057cz"
"Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D",0.02,762.311328,6276081,NA,"e18057cz"
"Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D",0.05,1905.77832,13367273,NA,"e18057cz"
"Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D",0.1,3811.55664,23582147,NA,"e18057cz"
"Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D",0.2,7623.11328,52947140,NA,"e18057cz"
"Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D",0.5,19057.7832,173122418,NA,"e18057cz"
"Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D",1,38115.5664,300323958,NA,"e18057cz"
"Threonine_(2TMS)_BP_RI:1303_IDENT:C+D",0.005,839.4895905,1478418,NA,"e18057cz"
"Threonine_(2TMS)_BP_RI:1303_IDENT:C+D",0.01,1678.979181,2800041,NA,"e18057cz"
"Threonine_(2TMS)_BP_RI:1303_IDENT:C+D",0.02,3357.958362,6494230,NA,"e18057cz"
"Threonine_(2TMS)_BP_RI:1303_IDENT:C+D",0.05,8394.895905,14509437,NA,"e18057cz"
"Threonine_(2TMS)_BP_RI:1303_IDENT:C+D",0.1,16789.79181,30183022,NA,"e18057cz"
"Threonine_(2TMS)_BP_RI:1303_IDENT:C+D",0.2,33579.58362,53685969,NA,"e18057cz"
"Threonine_(2TMS)_BP_RI:1303_IDENT:C+D",0.5,83948.95905,109531747,NA,"e18057cz"
"Threonine_(2TMS)_BP_RI:1303_IDENT:C+D",1,167897.9181,241701928,NA,"e18057cz"
"Proline_(2TMS)_MP_RI:1305_IDENT:A+B",0.005,304.0041692,342994,NA,"e18057cz"
"Proline_(2TMS)_MP_RI:1305_IDENT:A+B",0.01,608.0083384,419690,NA,"e18057cz"
"Proline_(2TMS)_MP_RI:1305_IDENT:A+B",0.02,1216.0166768,2202232,NA,"e18057cz"
"Proline_(2TMS)_MP_RI:1305_IDENT:A+B",0.05,3040.041692,5883473,NA,"e18057cz"
"Proline_(2TMS)_MP_RI:1305_IDENT:A+B",0.1,6080.083384,11616296,NA,"e18057cz"
"Proline_(2TMS)_MP_RI:1305_IDENT:A+B",0.2,12160.166768,33164143,NA,"e18057cz"
"Proline_(2TMS)_MP_RI:1305_IDENT:A+B",0.5,30400.41692,151040924,NA,"e18057cz"
"Proline_(2TMS)_MP_RI:1305_IDENT:A+B",1,60800.83384,274901421,NA,"e18057cz"
"Glycine_(3TMS)_MP_RI:1314_IDENT:A+C",0.005,333.0225123,3621533,NA,"e18057cz"
"Glycine_(3TMS)_MP_RI:1314_IDENT:A+C",0.01,666.0450246,6141221,NA,"e18057cz"
"Glycine_(3TMS)_MP_RI:1314_IDENT:A+C",0.02,1332.0900492,11578964,NA,"e18057cz"
"Glycine_(3TMS)_MP_RI:1314_IDENT:A+C",0.05,3330.225123,23739609,NA,"e18057cz"
"Glycine_(3TMS)_MP_RI:1314_IDENT:A+C",0.1,6660.450246,45164466,NA,"e18057cz"
"Glycine_(3TMS)_MP_RI:1314_IDENT:A+C",0.2,13320.900492,80443824,NA,"e18057cz"
"Glycine_(3TMS)_MP_RI:1314_IDENT:A+C",0.5,33302.25123,207084647,NA,"e18057cz"
"Glycine_(3TMS)_MP_RI:1314_IDENT:A+C",1,66604.50246,432679443,NA,"e18057cz"
"Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D",0.005,211.70293845,864218,NA,"e18057cz"
"Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D",0.01,423.4058769,992896,NA,"e18057cz"
"Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D",0.02,846.8117538,1905270,NA,"e18057cz"
"Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D",0.05,2117.0293845,4053940,NA,"e18057cz"
"Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D",0.1,4234.058769,7646214,NA,"e18057cz"
"Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D",0.2,8468.117538,16818186,NA,"e18057cz"
"Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D",0.5,21170.293845,46760600,NA,"e18057cz"
"Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D",1,42340.58769,94017894,NA,"e18057cz"
"Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B",0.005,217.39130435,1373016,NA,"e18057cz"
"Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B",0.01,434.7826087,1691630,NA,"e18057cz"
"Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B",0.02,869.5652174,2700162,NA,"e18057cz"
"Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B",0.05,2173.9130435,5671350,NA,"e18057cz"
"Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B",0.1,4347.826087,9039359,NA,"e18057cz"
"Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B",0.2,8695.652174,18457474,NA,"e18057cz"
"Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B",0.5,21739.130435,49870943,NA,"e18057cz"
"Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B",1,43478.26087,93821899,NA,"e18057cz"
"Uracil_(2TMS)_MP_RI:1350_IDENT:A+C",0.005,133.82103665,980667,NA,"e18057cz"
"Uracil_(2TMS)_MP_RI:1350_IDENT:A+C",0.01,267.6420733,1218288,NA,"e18057cz"
"Uracil_(2TMS)_MP_RI:1350_IDENT:A+C",0.02,535.2841466,3564528,NA,"e18057cz"
"Uracil_(2TMS)_MP_RI:1350_IDENT:A+C",0.05,1338.2103665,8829521,NA,"e18057cz"
"Uracil_(2TMS)_MP_RI:1350_IDENT:A+C",0.1,2676.420733,17900284,NA,"e18057cz"
"Uracil_(2TMS)_MP_RI:1350_IDENT:A+C",0.2,5352.841466,41459560,NA,"e18057cz"
"Uracil_(2TMS)_MP_RI:1350_IDENT:A+C",0.5,13382.103665,117884025,NA,"e18057cz"
"Uracil_(2TMS)_MP_RI:1350_IDENT:A+C",1,26764.20733,220882484,NA,"e18057cz"
"Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C",0.005,172.30981305,1982427,NA,"e18057cz"
"Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C",0.01,344.6196261,2275364,NA,"e18057cz"
"Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C",0.02,689.2392522,3532060,NA,"e18057cz"
"Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C",0.05,1723.0981305,6261624,NA,"e18057cz"
"Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C",0.1,3446.196261,10381971,NA,"e18057cz"
"Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C",0.2,6892.392522,23639573,NA,"e18057cz"
"Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C",0.5,17230.981305,72039438,NA,"e18057cz"
"Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C",1,34461.96261,110528402,NA,"e18057cz"
"Alanine_(3TMS)_MP_RI:1367_IDENT:B+C",0.005,-99,-99,-99,"e18057cz"
"Alanine_(3TMS)_MP_RI:1367_IDENT:B+C",0.01,112.2460433,446849,NA,"e18057cz"
"Alanine_(3TMS)_MP_RI:1367_IDENT:B+C",0.02,224.4920866,627281,NA,"e18057cz"
"Alanine_(3TMS)_MP_RI:1367_IDENT:B+C",0.05,561.2302165,898456,NA,"e18057cz"
"Alanine_(3TMS)_MP_RI:1367_IDENT:B+C",0.1,1122.460433,953026,NA,"e18057cz"
"Alanine_(3TMS)_MP_RI:1367_IDENT:B+C",0.2,2244.920866,1778861,NA,"e18057cz"
"Alanine_(3TMS)_MP_RI:1367_IDENT:B+C",0.5,-99,-99,-99,"e18057cz"
"Alanine_(3TMS)_MP_RI:1367_IDENT:B+C",1,11224.60433,11410453,NA,"e18057cz"
"Serine_(3TMS)_MP_RI:1373_IDENT:C+D",0.005,570.939195,371786,NA,"e18057cz"
"Serine_(3TMS)_MP_RI:1373_IDENT:C+D",0.01,1141.87839,836011,NA,"e18057cz"
"Serine_(3TMS)_MP_RI:1373_IDENT:C+D",0.02,2283.75678,3134103,NA,"e18057cz"
"Serine_(3TMS)_MP_RI:1373_IDENT:C+D",0.05,5709.39195,10109084,NA,"e18057cz"
"Serine_(3TMS)_MP_RI:1373_IDENT:C+D",0.1,11418.7839,18056924,NA,"e18057cz"
"Serine_(3TMS)_MP_RI:1373_IDENT:C+D",0.2,22837.5678,49406802,NA,"e18057cz"
"Serine_(3TMS)_MP_RI:1373_IDENT:C+D",0.5,57093.9195,198671385,NA,"e18057cz"
"Serine_(3TMS)_MP_RI:1373_IDENT:C+D",1,114187.839,347617548,NA,"e18057cz"
"Threonine_(3TMS)_MP_RI:1397_IDENT:C+D",0.005,839.4895905,746016,NA,"e18057cz"
"Threonine_(3TMS)_MP_RI:1397_IDENT:C+D",0.01,1678.979181,1501360,NA,"e18057cz"
"Threonine_(3TMS)_MP_RI:1397_IDENT:C+D",0.02,3357.958362,6269720,NA,"e18057cz"
"Threonine_(3TMS)_MP_RI:1397_IDENT:C+D",0.05,8394.895905,16944299,NA,"e18057cz"
"Threonine_(3TMS)_MP_RI:1397_IDENT:C+D",0.1,16789.79181,32270974,NA,"e18057cz"
"Threonine_(3TMS)_MP_RI:1397_IDENT:C+D",0.2,33579.58362,76472586,NA,"e18057cz"
"Threonine_(3TMS)_MP_RI:1397_IDENT:C+D",0.5,83948.95905,266558679,NA,"e18057cz"
"Threonine_(3TMS)_MP_RI:1397_IDENT:C+D",1,167897.9181,462385453,NA,"e18057cz"
"Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B",0.005,171.1156742,1500978,NA,"e18057cz"
"Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B",0.01,342.2313484,2375972,NA,"e18057cz"
"Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B",0.02,684.4626968,4778962,NA,"e18057cz"
"Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B",0.05,1711.156742,3685076,NA,"e18057cz"
"Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B",0.1,3422.313484,7204051,NA,"e18057cz"
"Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B",0.2,6844.626968,15509653,NA,"e18057cz"
"Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B",0.5,17111.56742,41017248,NA,"e18057cz"
"Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B",1,34223.13484,77751352,NA,"e18057cz"
"Methionine_(1TMS)_BP_RI:1422_IDENT:C+D",0.005,-99,-99,-99,"e18057cz"
"Methionine_(1TMS)_BP_RI:1422_IDENT:C+D",0.01,-99,-99,-99,"e18057cz"
"Methionine_(1TMS)_BP_RI:1422_IDENT:C+D",0.02,-99,-99,-99,"e18057cz"
"Methionine_(1TMS)_BP_RI:1422_IDENT:C+D",0.05,335.09818375,451786,NA,"e18057cz"
"Methionine_(1TMS)_BP_RI:1422_IDENT:C+D",0.1,670.1963675,961740,NA,"e18057cz"
"Methionine_(1TMS)_BP_RI:1422_IDENT:C+D",0.2,1340.392735,2012481,NA,"e18057cz"
"Methionine_(1TMS)_BP_RI:1422_IDENT:C+D",0.5,3350.9818375,3759483,NA,"e18057cz"
"Methionine_(1TMS)_BP_RI:1422_IDENT:C+D",1,6701.963675,6257001,NA,"e18057cz"
"Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C",0.005,-99,-99,-99,"e18057cz"
"Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C",0.01,-99,-99,-99,"e18057cz"
"Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C",0.02,-99,-99,-99,"e18057cz"
"Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C",0.05,751.2583575,1648321,NA,"e18057cz"
"Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C",0.1,-99,-99,-99,"e18057cz"
"Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C",0.2,3005.03343,7298579,NA,"e18057cz"
"Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C",0.5,7512.583575,14110466,NA,"e18057cz"
"Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C",1,15025.16715,24280317,NA,"e18057cz"
"Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D",0.005,56.12302165,319421,NA,"e18057cz"
"Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D",0.01,112.2460433,638502,NA,"e18057cz"
"Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D",0.02,224.4920866,1348836,NA,"e18057cz"
"Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D",0.05,561.2302165,2804774,NA,"e18057cz"
"Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D",0.1,1122.460433,5510325,NA,"e18057cz"
"Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D",0.2,2244.920866,10150201,NA,"e18057cz"
"Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D",0.5,5612.302165,23506641,NA,"e18057cz"
"Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D",1,11224.60433,41966857,NA,"e18057cz"
"Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D",0.005,223.7303304,669979,NA,"e18057cz"
"Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D",0.01,447.4606608,1188878,NA,"e18057cz"
"Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D",0.02,894.9213216,2700146,NA,"e18057cz"
"Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D",0.05,2237.303304,6318230,NA,"e18057cz"
"Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D",0.1,4474.606608,12575923,NA,"e18057cz"
"Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D",0.2,8949.213216,28363230,NA,"e18057cz"
"Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D",0.5,22373.03304,76922840,NA,"e18057cz"
"Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D",1,44746.06608,149817240,NA,"e18057cz"
"Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B",0.005,409.43334425,3497557,NA,"e18057cz"
"Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B",0.01,818.8666885,6873210,NA,"e18057cz"
"Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B",0.02,1637.733377,14443555,NA,"e18057cz"
"Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B",0.05,4094.3334425,39328759,NA,"e18057cz"
"Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B",0.1,8188.666885,76206494,NA,"e18057cz"
"Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B",0.2,16377.33377,172456864,NA,"e18057cz"
"Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B",0.5,40943.334425,485965901,NA,"e18057cz"
"Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B",1,81886.66885,925913990,NA,"e18057cz"
"Putrescine_(3TMS)_BP_RI:1507_IDENT:A+D",0.005,-99,-99,-99,"e18057cz"
"Putrescine_(3TMS)_BP_RI:1507_IDENT:A+D",0.01,-99,-99,-99,"e18057cz"
"Putrescine_(3TMS)_BP_RI:1507_IDENT:A+D",0.02,-99,-99,-99,"e18057cz"
"Putrescine_(3TMS)_BP_RI:1507_IDENT:A+D",0.05,-99,-99,-99,"e18057cz"
