Metabolite	Dilution	Concentration	ChromIntensities	OwnBorderIntensities
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.02	224.4920866	6178431.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.05	561.2302165	1.7155162E7	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.1	1122.460433	3.8267027E7	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.2	2244.920866	9.2929078E7	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.5	5612.302165	3.43334916E8	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	1	11224.60433	8.36641935E8	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.005	-99.0	-99.0	-99.0
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.01	-99.0	-99.0	-99.0
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.02	-99.0	-99.0	-99.0
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.05	3330.225123	843154.0	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.1	6660.450246	1670055.0	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.2	13320.900492	4450611.0	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.5	33302.25123	2.119578E7	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	1	66604.50246	6.9873535E7	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.01	914.8433331	1187625.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.02	1829.6866662	2615189.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.05	4574.2166655	5600032.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.1	9148.433331	1.2813487E7	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.2	18296.866662	2.6828472E7	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.5	45742.166655	9.6152154E7	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	1	91484.33331	2.32516096E8	NaN
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	0.005	-99.0	-99.0	-99.0
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	0.01	288.184438	1030797.0	NaN
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	0.02	576.368876	1640393.0	NaN
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	0.05	1440.9221900000002	4598676.0	NaN
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	0.1	2881.8443800000005	1.1845282E7	NaN
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	0.2	5763.688760000001	2.4119213E7	NaN
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	0.5	14409.2219	6.97269E7	NaN
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	1	28818.4438	1.54998064E8	NaN
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	0.005	-99.0	-99.0	-99.0
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	0.01	608.0083384	1086247.0	NaN
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	0.02	1216.0166768	1982976.0	NaN
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	0.05	3040.0416920000002	4939916.0	NaN
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	0.1	-99.0	-99.0	-99.0
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	0.2	12160.166768000001	2.1241468E7	NaN
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	0.5	30400.41692	8.3777336E7	NaN
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	1	60800.83384	2.03912333E8	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.005	-99.0	-99.0	-99.0
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.01	381.15566400000006	1256777.0	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.02	762.3113280000001	2023627.0	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.05	1905.7783200000003	5552396.0	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.1	3811.5566400000007	1.1109507E7	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.2	7623.113280000001	2.2706977E7	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.5	19057.7832	9.1009676E7	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	1	38115.5664	2.19891971E8	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.005	213.40162185000003	217052.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.01	426.80324370000005	458871.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.02	853.6064874000001	779038.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.05	2134.0162185000004	2051491.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.1	4268.032437000001	4848061.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.2	8536.064874000002	1.3276273E7	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.5	21340.162185	7.404236E7	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	1	42680.32437	1.66564411E8	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	0.01	1141.87839	3767556.0	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	0.02	2283.75678	4810431.0	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	0.05	5709.391950000001	9937353.0	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	0.1	11418.783900000002	1.7714395E7	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	0.2	22837.567800000004	4.145109E7	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	0.5	57093.9195	1.47129539E8	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	1	114187.839	3.42693982E8	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.01	-99.0	-99.0	-99.0
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.02	1829.6866662	2583591.0	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.05	4574.2166655	7107460.0	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.1	9148.433331	1.8523586E7	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.2	18296.866662	5.0130975E7	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	0.5	45742.166655	2.45255709E8	NaN
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C	1	91484.33331	6.27900871E8	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.005	134.9819124	3.1673349E7	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.01	269.9638248	4.2040253E7	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.02	539.9276496	4.0747316E7	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.05	1349.819124	5.794059E7	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.1	2699.638248	9.0762621E7	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.2	5399.276496	1.61181866E8	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	0.5	13498.19124	3.99938845E8	NaN
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D	1	26996.38248	9.38235531E8	NaN
Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D	0.005	-99.0	-99.0	-99.0
Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D	0.01	-99.0	-99.0	-99.0
Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D	0.02	762.3113280000001	298253.0	NaN
Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D	0.05	1905.7783200000003	935527.0	NaN
Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D	0.1	3811.5566400000007	3664855.0	NaN
Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D	0.2	7623.113280000001	9331398.0	NaN
Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D	0.5	19057.7832	6.8244032E7	NaN
Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D	1	38115.5664	1.520612E8	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.01	1678.9791810000002	1495703.0	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.02	3357.9583620000003	3482993.0	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.05	8394.895905000001	7345466.0	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.1	16789.791810000002	1.5099785E7	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.2	33579.583620000005	3.4264138E7	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	0.5	83948.95905	1.36959127E8	NaN
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D	1	167897.9181	2.83922744E8	NaN
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.005	-99.0	-99.0	-99.0
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.01	-99.0	-99.0	-99.0
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.02	-99.0	-99.0	-99.0
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.05	3040.0416920000002	381111.0	NaN
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.1	6080.0833840000005	1198506.0	NaN
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.2	12160.166768000001	3754905.0	NaN
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	0.5	30400.41692	3.6312424E7	NaN
Proline_(2TMS)_MP_RI:1305_IDENT:A+B	1	60800.83384	7.1578244E7	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.005	333.0225123	1468385.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.01	666.0450246	2651773.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.02	1332.0900492	5492995.0	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.05	3330.225123	1.2182574E7	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.1	6660.450246	2.1200032E7	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.2	13320.900492	3.6423416E7	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	0.5	33302.25123	1.38309304E8	NaN
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C	1	66604.50246	2.4172951E8	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.005	-99.0	-99.0	-99.0
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.01	423.4058769	511697.0	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.02	846.8117538	1060534.0	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.05	2117.0293845	2381450.0	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.1	4234.058769	4783265.0	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.2	8468.117538	1.1589669E7	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	0.5	21170.293845	4.1709723E7	NaN
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D	1	42340.58769	1.02626672E8	NaN
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.005	217.39130434999998	596749.0	NaN
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.01	-99.0	-99.0	-99.0
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.02	869.5652173999999	944164.0	NaN
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.05	2173.9130435	2086881.0	NaN
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.1	4347.826087	3618966.0	NaN
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.2	8695.652174	8151514.0	NaN
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	0.5	21739.130435	3.7656537E7	NaN
Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B	1	43478.26087	9.6180621E7	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.005	-99.0	-99.0	-99.0
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.01	-99.0	-99.0	-99.0
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.02	-99.0	-99.0	-99.0
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.05	1338.2103665000002	2828005.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.1	2676.4207330000004	5966361.0	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.2	5352.841466000001	1.5190224E7	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	0.5	13382.103665	8.5210423E7	NaN
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C	1	26764.20733	2.26954894E8	NaN
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.005	-99.0	-99.0	-99.0
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.01	344.6196261	523759.0	NaN
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.02	689.2392522	1162855.0	NaN
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.05	1723.0981305000003	2880954.0	NaN
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.1	3446.1962610000005	5812969.0	NaN
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.2	6892.392522000001	1.4143306E7	NaN
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	0.5	17230.981305	5.7443564E7	NaN
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C	1	34461.96261	1.46194364E8	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.01	112.2460433	400244.0	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.02	224.4920866	575049.0	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.05	561.2302165	1679290.0	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.1	1122.460433	2415688.0	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.2	2244.920866	3858881.0	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	0.5	5612.302165	2.1814301E7	NaN
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C	1	11224.60433	3.8292707E7	NaN
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.01	-99.0	-99.0	-99.0
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.02	-99.0	-99.0	-99.0
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.05	-99.0	-99.0	-99.0
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.1	11418.783900000002	1904321.0	NaN
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.2	22837.567800000004	6601394.0	NaN
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	0.5	57093.9195	7.7559398E7	NaN
Serine_(3TMS)_MP_RI:1373_IDENT:C+D	1	114187.839	2.71660489E8	NaN
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.01	-99.0	-99.0	-99.0
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.02	-99.0	-99.0	-99.0
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.05	8394.895905000001	598469.0	NaN
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.1	16789.791810000002	2171967.0	NaN
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.2	33579.583620000005	9320019.0	NaN
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	0.5	83948.95905	9.9700492E7	NaN
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D	1	167897.9181	3.75670158E8	NaN
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.005	171.1156742	415666.0	NaN
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.01	342.2313484	905230.0	NaN
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.02	684.4626968	1797565.0	NaN
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.05	1711.1567420000001	2081787.0	NaN
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.1	3422.3134840000002	4287546.0	NaN
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.2	6844.6269680000005	1.0797355E7	NaN
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	0.5	-99.0	-99.0	-99.0
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B	1	-99.0	-99.0	-99.0
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.005	-99.0	-99.0	-99.0
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.01	-99.0	-99.0	-99.0
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.02	-99.0	-99.0	-99.0
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.05	335.09818375000003	796932.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.1	670.1963675000001	1230558.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.2	1340.3927350000001	2759405.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	0.5	3350.9818375	9445351.0	NaN
Methionine_(1TMS)_BP_RI:1422_IDENT:C+D	1	6701.963675	1.5989823E7	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.005	-99.0	-99.0	-99.0
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.01	-99.0	-99.0	-99.0
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.02	-99.0	-99.0	-99.0
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.05	561.2302165	294379.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.1	1122.460433	542022.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.2	2244.920866	1452096.0	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	0.5	5612.302165	1.1920165E7	NaN
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D	1	11224.60433	2.6009236E7	NaN
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C	0.005	-99.0	-99.0	-99.0
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C	0.01	-99.0	-99.0	-99.0
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C	0.02	-99.0	-99.0	-99.0
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C	0.05	-99.0	-99.0	-99.0
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C	0.1	1502.516715	1782986.0	NaN
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C	0.2	3005.03343	4761619.0	NaN
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C	0.5	7512.583575	2.7126203E7	NaN
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C	1	15025.16715	6.141324E7	NaN
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.005	-99.0	-99.0	-99.0
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.01	447.46066079999997	451171.0	NaN
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.02	894.9213215999999	867661.0	NaN
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.05	2237.303304	2333270.0	NaN
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.1	4474.606608	5343541.0	NaN
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.2	8949.213216	1.4420475E7	NaN
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	0.5	22373.03304	6.7246141E7	NaN
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D	1	44746.06608	1.57765328E8	NaN
Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B	0.005	409.43334425	1930580.0	NaN
Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B	0.01	818.8666885	4262473.0	NaN
Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B	0.02	1637.733377	7891180.0	NaN
Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B	0.05	4094.3334425000003	1.9300865E7	NaN
Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B	0.1	8188.666885000001	4.0428983E7	NaN
Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B	0.2	16377.333770000001	8.7541748E7	NaN
Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B	0.5	40943.334425	4.33336992E8	NaN
Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B	1	81886.66885	9.94523585E8	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.005	464.68401485000004	832059.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.01	929.3680297000001	2445298.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.02	1858.7360594000002	5780520.0	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.05	4646.8401485	1.6069371E7	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.1	9293.680297	3.2435415E7	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.2	18587.360594	8.4093446E7	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	0.5	46468.401485	4.76451378E8	NaN
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D	1	92936.80297	1.356673982E9	NaN
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	0.005	-99.0	-99.0	-99.0
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	0.01	-99.0	-99.0	-99.0
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	0.02	2718.6841560000003	454705.0	NaN
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	0.05	6796.71039	2019962.0	NaN
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	0.1	13593.42078	4897745.0	NaN
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	0.2	27186.84156	1.3999536E7	NaN
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	0.5	-99.0	-99.0	-99.0
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B	1	-99.0	-99.0	-99.0
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	0.01	-99.0	-99.0	-99.0
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	0.02	968.5816332	1.0971529E7	NaN
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	0.05	2421.454083	2.1076382E7	NaN
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	0.1	4842.908166	3.8470946E7	NaN
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	0.2	9685.816332	6.7212965E7	NaN
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	0.5	24214.54083	1.92786798E8	NaN
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C	1	48429.08166	2.93204342E8	NaN
